FID,portt_code,longitude,latitude,name,dvrpc,GEOID,geom
0,C0112,-68.92497,44.45285,"Searsport, ME",FALSE, ,
1,C0128,-70.25134,43.64951,"Portland, ME",FALSE,38860,
2,C0135,-70.73806,43.07398,"Portsmouth, NH",FALSE,38860,
3,C0146,-70.88017,42.52167,"Salem, MA",FALSE,14460,
4,C0149,-71.05229,42.350939,"Boston, MA",FALSE,14460,
5,C0189,-71.15875,41.72166,"Fall River, MA",FALSE,39300,
6,C0191,-71.39844,41.81178,"Providence, RI",FALSE,39300,
7,C0192,-71.31787,41.48724,"Newport, RI",FALSE,39300,
8,C0297,-75.3222,39.85423,"Chester, PA",TRUE,37980,
9,C0298,-74.74081,40.13598,"Penn Manor, PA",TRUE,37980,
10,C0299,-75.56158,39.65668,"New Castle, DE",FALSE,37980,
11,C0311,-73.17886,41.172,"Bridgeport, CT",FALSE,14860,
12,C0317,-73.53764,41.03003,"Stamford, CT",FALSE,14860,
13,C0398,-74.038357,40.673949,"New York, NY and NJ",FALSE,35620,
14,C0505,-73.74816,42.64271,"Albany, NY",FALSE,10580,
15,C0522,-73.07216,40.94881,"Port Jefferson, NY",FALSE,35620,
16,C0551,-75.10432,39.94305,"Camden-Gloucester, NJ",TRUE,37980,
17,C0552,-75.202191,39.91882,"Philadelphia, PA",TRUE,37980,
18,C0553,-74.77286,40.21554,"Trenton, NJ",TRUE,37980,
19,C0554,-75.50697,39.71589,"Wilmington, DE",FALSE,37980,
20,C0700,-76.51712,39.20899,"Baltimore, MD",FALSE,12580,
21,C0736,-76.45823,36.98522,"Newport News, VA",FALSE,47260,
22,C0737,-77.41936,37.45701,"Richmond, VA",FALSE,40060,
23,C0738,-77.276338,37.322308,"Hopewell, VA",FALSE,40060,
24,C0764,-76.72421,34.71693,"Morehead City, NC",FALSE,33980,
25,C0766,-77.953954,34.239278,"Wilmington, NC",FALSE,48900,
26,C0772,-79.289636,33.366822,"Georgetown, SC",FALSE,23860,
27,C0773,-79.921595,32.788781,"Charleston, SC",FALSE,16700,
28,C0776,-81.095382,32.084711,"Savannah, GA",FALSE,42340,
29,C0780,-81.49988,31.15856,"Brunswick, GA",FALSE,15260,
30,C0784,-81.46777,30.6698,"Fernandina Beach, FL",FALSE,27260,
32,C1507,-72.90473,41.29883,"New Haven, CT",FALSE,35300,
33,C1910,-90.210833,29.121389,"Port Fourchon, LA",FALSE,26380,
34,C2002,-88.88693,30.41907,"Biloxi, MS",FALSE,25060,
35,C2004,-88.55879,30.34802,"Pascagoula, MS",FALSE,37700,
36,C2005,-88.04113,30.72527,"Mobile, AL",FALSE,33660,
37,C2007,-87.25793,30.40785,"Pensacola, FL",FALSE,37860,
38,C2012,-95.293679,29.747023,"Houston, TX",FALSE,26420,
39,C2016,-85.656326,30.163246,"Panama City, FL",FALSE,37460,
40,C2017,-81.665125,30.322757,"Jacksonville, FL",FALSE,27260,
41,C2021,-82.52235,27.78534,"Tampa, FL",FALSE,45300,
42,C2023,-82.60271,27.66,"Port Manatee, FL",FALSE,45300,
43,C2030,-91.84379,29.937304,"Iberia, LA",FALSE,35340,
44,C2083,-89.08533,30.35216,"Gulfport, MS",FALSE,25060,
45,C2087,-91.211242,29.688462,"Morgan City, La, Port of",FALSE,34020,
46,C2136,-66.16667,18.66667,"San Juan, PR",FALSE, ,
47,C2139,-65.648401,18.324173,"Fajardo, PR",FALSE,21940,
48,C2151,-66.71667,18.00126,"Ponce, PR",FALSE,49500,
49,C2157,-64.73242,17.75271,"Christiansted, St Croix,",FALSE, ,
50,C2160,-80.60815,28.41409,"Port Canaveral, FL",FALSE,37340,
51,C2162,-80.05267,26.76904,"Palm Beach, FL",FALSE,33100,
52,C2163,-80.117801,26.093392,"Port Everglades, FL",FALSE,33100,
53,C2164,-80.181642,25.782862,"Miami, FL",FALSE,33100,
54,C2224,-90.659051,29.57907,"Terrebonne, LA, Port of",FALSE,26380,
55,C2251,-90.085256,29.91414,"New Orleans, LA",FALSE,35380,
56,C2252,-91.19934,30.42292,"Baton Rouge, LA",FALSE,12940,
57,C2253,-90.61794,30.03345,"South Louisiana, LA, Port of",FALSE,35380,
58,C2254,-93.286839,30.106406,"Lake Charles, LA",FALSE,29340,
59,C2255,-89.687447,29.480004,"Plaquemines, LA, Port of",FALSE,35380,
60,C2332,-87.875,37.92208,"Mount Vernon, IN",FALSE,21780,
61,C2348,-82.41998,38.43361,Huntington - Tristate,FALSE,26580,
62,C2391,-93.817006,29.625027,"Sabine Pass, TX",FALSE,29340,
63,C2394,-93.72356,30.09537,"Orange, TX",FALSE,13140,
64,C2395,-94.088112,30.087163,"Beaumont, TX",FALSE,13140,
65,C2404,-94.918091,29.363068,"Texas City, TX",FALSE,26420,
66,C2408,-95.3707,28.96133,"Freeport, TX",FALSE,26420,
67,C2410,-96.56412,28.5954,"Matagorda Port Lv Pt Com, TX",FALSE,47020,
68,C2411,-96.97247,28.69131,"Victoria, TX",FALSE,47020,
69,C2413,-97.058201,27.84459,"Aransas Pass, TX",FALSE,18580,
70,C2416,-93.96069,29.83142,"Port Arthur, TX",FALSE,13140,
71,C2417,-94.8127,29.31049,"Galveston, TX",FALSE,26420,
72,C2420,-97.398138,25.952201,"Brownsville, TX",FALSE,15180,
73,C2423,-97.39789,27.81277,"Corpus Christi, TX",FALSE,18580,
74,C3619,-83.47031,45.28073,"Stoneport, MI",FALSE, ,
75,C4100,-117.1784,32.70821,"San Diego, CA",FALSE,41740,
76,C4110,-118.2095,33.73957,"Long Beach, CA",FALSE,31100,
77,C4120,-118.241,33.77728,"Los Angeles, CA",FALSE,31100,
78,C4150,-119.208475,34.148244,"Port Hueneme, CA",FALSE,37100,
79,C4240,-121.541541,38.561323,"Sacramento, CA",FALSE,40900,
80,C4270,-121.3156,37.9527,"Stockton, CA",FALSE,44700,
81,C4335,-122.399042,37.806665,"San Francisco, CA",FALSE,41860,
82,C4340,-122.214012,37.50536,"Redwood City, CA",FALSE,41860,
83,C4345,-122.3081,37.82152,"Oakland, CA",FALSE,41860,
84,C4350,-122.374233,37.924237,"Richmond, CA",FALSE,41860,
85,C4375,-124.2159,40.75384,"Humboldt Bay, CA",FALSE,21700,
86,C4400,-155.0758,19.72861,"Hilo, HI",FALSE,25900,
87,C4405,-155.8333,20.03778,"Kawaihae Harbor, HI",FALSE,25900,
88,C4410,-156.4728,20.89861,"Kahului, Maui, HI",FALSE,27980,
89,C4420,-157.8717,21.31111,"Honolulu, HI",FALSE,26180,
90,C4430,-159.3531,21.96111,"Nawiliwili, Kauai, HI",FALSE,28180,
91,C4458,-158.1089,21.29723,"Barbers Point, Oahu, HI",FALSE,26180,
92,C4622,-122.914,46.14222,"Longview, WA",FALSE,31020,
93,C4626,-122.8628,46.02048,"Kalama, WA",FALSE,31020,
94,C4636,-122.6806,45.62244,"Vancouver, WA",FALSE,38900,
95,C4644,-122.6653,45.47881,"Portland, OR",FALSE,38900,
96,C4660,-124.2095,43.36351,"Coos Bay, OR",FALSE,18300,
97,C4702,-124.176146,46.904156,"Grays Harbor, WA",FALSE,10140,
98,C4708,-123.4532,48.1305,"Port Angeles, WA",FALSE,38820,
99,C4718,-122.9089,47.06827,"Olympia, WA",FALSE,36500,
100,C4720,-122.4515,47.28966,"Tacoma, WA",FALSE,42660,
101,C4722,-122.359218,47.587711,"Seattle, WA",FALSE,42660,
102,C4725,-122.2294,47.98476,"Everett, WA",FALSE,42660,
103,C4730,-122.59961,48.495943,"Anacortes, WA",FALSE,34580,
104,C4800,-131.65,55.34193,"Ketchikan, AK",FALSE,28540,
105,C4816,-146.3464,61.12473,"Valdez, AK",FALSE, ,
106,C4820,-149.895,61.23778,"Anchorage, AK",FALSE,11260,
107,C4831,-151.3144,60.74793,"Nikishka, AK",FALSE, ,
108,C4909,-166.5417,53.89333,"Iliuliuk Harbor, AK",FALSE, ,
109,C4930,-149.4344,60.11945,"Seward, AK",FALSE, ,
110,C4947,-168.9382,53.75961,"Unalaska Island, AK",FALSE, ,
111,C4978,-164.5389,67.71918,"Kivilina, AK",FALSE, ,
113,C5251,-75.40424,39.81544,"Marcus Hook, PA",TRUE,37980,
114,C5252,-75.22655,39.82689,"Paulsboro, NJ",TRUE,37980,
115,C5735,-76.31174,36.86642,"Norfolk Harbor, VA",FALSE,47260,
116,I0514,-73.67332,40.87361,"Hempstead, NY",FALSE,35620,
117,I1233,-87.875,37.92208,"Mount Vernon, IN",FALSE,21780,
118,I2267,-91.122837,32.49485,"Madison Parish, LA, Port of",FALSE,45260,
119,I2268,-91.07121,33.77773,"Rosedale, MS",FALSE, ,
120,I2269,-91.15361,32.79472,"Lake Providence, LA",FALSE, ,
121,I2270,-91.662637,30.988134,"Natchez, MS",FALSE,12940,
122,I2271,-91.126869,33.359232,"Greenville, MS",FALSE, ,
123,I2276,-90.90056,32.3347,"Vicksburg, MS",FALSE,45260,
124,I2293,-90.58323,34.52186,"Helena, AR",FALSE,25760,
125,I2294,-90.06198,35.18177,"Memphis, TN",FALSE,32820,
126,I2298,-89.415053,36.498428,"Elvis Stahr Harbor, KY",FALSE, ,
127,I2300,-89.684731,36.221071,"Caruthersville Harbor, MO",FALSE, ,
128,I2301,-89.93488,37.97332,"Southeast Missouri Port, MO",FALSE, ,
129,I2307,-90.046146,38.143332,"Kaskaskia, IL, Port of",FALSE,41180,
130,I2310,-90.22961,38.56954,"St. Louis, MO and IL",FALSE,41180,
131,I2320,-93.0619,44.95157,"St. Paul, MN",FALSE,33460,
132,I2321,-93.27391,44.99384,"Minneapolis, MN",FALSE,33460,
133,I2332,-87.875,37.92208,"Mount Vernon, IN",FALSE,21780,
134,I2333,-85.760993,38.26147,"Louisville, KY",FALSE,31140,
135,I2335,-84.5045,39.09403,Cincinnati OH,FALSE,17140,
136,I2348,-82.41998,38.43361,Huntington - Tristate,FALSE,26580,
137,I2358,-80.01612,40.44234,"Pittsburgh, PA",FALSE,38300,
138,I2370,-86.77467,36.16513,"Nashville, TN",FALSE,34980,
139,I2371,-86.287506,34.373904,"Guntersville, AL",FALSE,10700,
140,I2372,-85.32682,35.02448,"Chattanooga, TN",FALSE,16860,
141,I2385,-94.60762,39.115,"Kansas City, MO",FALSE,28140,
142,I3270,-86.77467,36.16513,"Nashville, TN",FALSE,34980,
143,I3803,-85.86279,45.95508,PORT INLAND,FALSE, ,
144,I6109,-95.74002,36.2182,"Tulsa, Port of Catoosa, OK",FALSE,46140,
145,L2335,-84.5045,39.09403,"Cincinati, OH",FALSE,17140,
146,L3139,-87.15521,41.64325,"Burns Waterway Harbor, IN",FALSE,16980,
147,L3202,-83.390609,41.915134,"Monroe, MI",FALSE,33780,
148,L3204,-83.50751,41.66294,"Toledo, OH",FALSE,45780,
149,L3210,-82.72835,41.61461,"Kelleys Island, OH",FALSE,41780,
150,L3212,-82.70906,41.52962,"Marblehead, OH",FALSE,45780,
151,L3213,-82.71227,41.47022,"Sandusky, OH",FALSE,41780,
152,L3214,-82.54399,41.405,"Huron, OH",FALSE,41780,
153,L3216,-82.19514,41.48248,"Lorain, OH",FALSE,17460,
154,L3217,-81.67191,41.47852,"Cleveland, OH",FALSE,17460,
155,L3218,-81.29407,41.76666,"Fairport Harbor, OH",FALSE,17460,
156,L3219,-80.79172,41.91873,"Ashtabula, OH",FALSE,11780,
157,L3220,-80.5486,41.96671,"Conneaut, OH",FALSE,11780,
158,L3221,-80.06792,42.15154,"Erie, PA",FALSE,21500,
159,L3230,-78.89526,42.8783,"Buffalo, NY",FALSE,15380,
160,L3321,-83.109586,42.269094,"Detroit, MI",FALSE,19820,
161,L3506,-82.50235,42.71545,"Marine City, MI",FALSE,19820,
162,L3509,-82.49413,42.82663,"St. Clair, MI",FALSE,19820,
163,L3512,-82.480822,42.827056,"Marysville, MI",FALSE,19820,
164,L3617,-83.42227,45.0556,"Alpena, MI",FALSE,10980,
165,L3619,-83.420781,45.298455,"Stoneport, MI",FALSE, ,
166,L3620,-83.7756,45.39293,"Calcite, MI",FALSE, ,
167,L3627,-84.31281,45.99139,"Port Dolomite, MI",FALSE, ,
168,L3706,-85.24348,45.31294,"Charlevoix, MI",FALSE, ,
169,L3720,-86.34428,44.25082,"Manistee, MI",FALSE, ,
170,L3725,-86.35014,43.19492,"Muskegon, MI",FALSE,34740,
171,L3728,-86.23557,43.06694,"Grand Haven, MI",FALSE,26100,
172,L3736,-87.32513,41.61202,"Gary, IN",FALSE,16980,
173,L3737,-87.41614,41.64523,"Buffington, IN",FALSE,16980,
174,L3738,-87.44547,41.67586,"Indiana Harbor, IN",FALSE,16980,
175,L3739,-87.15521,41.64325,"Burns Waterway Harbor, IN",FALSE,16980,
176,L3749,-87.63799,41.88662,"Chicago, IL",FALSE,16980,
177,L3756,-87.89967,42.98824,"Milwaukee, WI",FALSE,33340,
178,L3778,-88.018118,44.516215,"Green Bay, WI",FALSE,24580,
179,L3795,-87.024999,45.733509,"Escanaba, MI",FALSE,21540,
180,L3803,-85.86279,45.95508,"Port Inland, MI",FALSE, ,
181,L3813,-83.88556,45.99245,"Drummond Island, MI",FALSE,42300,
182,L3844,-87.28703,46.51113,"Marquette, MI",FALSE,32100,
183,L3845,-87.385166,46.577367,"Presque Isle, MI",FALSE,32100,
184,L3924,-92.096408,46.778362,"Duluth-Superior, MN and WI",FALSE,20260,
185,L3925,-91.27573,47.28433,"Silver Bay, MN",FALSE, ,
186,L3926,-91.66261,47.00428,"Two Harbors, MN",FALSE, ,
187,L3928,-91.256388,47.294208,"Silver Bay, MN",FALSE, ,
188,L3929,-90.88722,47.55016,"Taconite Harbor, MN",FALSE, ,
