PortID,USACEPortName,USATradePortName
505,"Albany, NY","Albany, NY"
718,"Alexandria, VA","Alexandria, VA"
3763,"Algoma, WI","Algoma, WI"
3503,"Algonac, MI","Algonac, MI"
3617,"Alpena, MI","Alpena, MI"
4730,"Anacortes, WA","Anacortes, WA"
715,"Anacostia River, DC","Anacostia River, DC"
4820,"Anchorage, AK","Anchorage, AK"
727,"Annapolis, MD","Annapolis, MD"
2183,"Apalachicola, FL","Apalachicola, FL"
194,"Apponaug Cove, RI","Apponaug Cove, RI"
2413,"Aransas Pass, TX","Aransas Pass, TX"
2133,"Arecibo, PR","Arecibo, PR"
3863,"Ashland, WI","Ashland, WI"
3863,"Ashland, WI","Ashland, Wisconsin"
3219,"Ashbatula, OH","Ashbatula, OH"
3219,"Ashtabula, OH","Ashtabula, OH"
3219,"Ashtabula, OH","Ashtabula, Ohio"
3219,"Ashtabula, OH","Ashtabula-Conneaut, OH"
4610,"Astoria, OR","Astoria, OR"
4949,"Atka Island, AK","Atka Island, AK"
785,"Atlantic Beach Channels, NC","Atlantic Beach Channels, NC"
770,"Avon, NC","Avon, NC"
491,"Back Creek, Anne Arundel County, MD","Back Creek, Anne Arundel County, MD"
700,"Baltimore, MD","Baltimore, MD"
105,"Bar Harbor, ME","Bar Harbor, ME"
4457,"Barbers Point Harbor, Oahu, HI","Barbers Point Harbor, Oahu, HI"
3234,"Barcelona, NY","Barcelona, NY"
108,"Bass Harbor, ME","Bass Harbor, ME"
2252,"Baton Rouge, LA","Baton Rouge, LA"
362,"Bay Ridge and Red Hook Channels, NY","Bay Ridge and Red Hook Channels, NY"
3865,"Bayfield, WI","Bayfield, WI"
102,"Beals Harbor, ME","Beals Harbor, ME"
763,"Beaufort, NC","Beaufort-Morehead City, NC"
2395,"Beaumont, TX","Beaumont, TX"
115,"Belfast, ME","Belfast, ME"
761,"Belhaven, NC","Belhaven, NC"
4732,"Bellingham, WA","Bellingham, WA"
4346,"Berkeley, CA","Berkeley, CA"
4847,"Bethel, AK","Bethel, AK"
887,"Betterton, MD","Betterton, MD"
145,"Beverly, MA","Beverly, MA"
3846,"Big Bay Harbor, MI","Big Bay Harbor, MI"
2002,"Biloxi, MS","Biloxi, MS"
434,"Bivalve, MD","Bivalve, MD"
3861,"Black River Harbor, MI","Black River Harbor, MI"
709,"Black Walnut Harbor, MD","Black Walnut Harbor, MD"
4744,"Blaine, WA","Blaine, WA"
199,"Block Island, RI, Harbor of Refuge","Block Island, RI, Harbor of Refuge"
4392,"Bodega Bay, CA","Bodega Bay, CA"
1239,"Bonum Creek, VA","Bonum Creek, VA"
125,"Boothbay Harbor, ME","Boothbay Harbor, ME"
149,"Boston, MA","Boston, MA"
150,"Boston, MA Main Waterfront","Boston, MA Main Waterfront"
1323,"Bourne, MA","Bourne, MA"
308,"Branford, CT","Branford, CT"
2424,"Brazos Island Harbor, TX","Brazos Island Harbor, TX"
311,"Bridgeport, CT","Bridgeport, CT"
190,"Bristol, RI","Bristol, RI"
353,"Bronx River, NY","Bronx River, NY"
2420,"Brownsville, TX","Brownsville, TX"
780,"Brunswick, GA","Brunswick, GA"
110,"Bucksport, ME","Bucksport, ME"
3226,"Buffalo Harbor, NY","Buffalo Harbor, NY"
3230,"Buffalo, NY","Buffalo, NY"
3737,"Buffington, IN","Buffington, IN"
1023,"Bunker, ME","Bunker, ME"
509,"Burlington, VT","Burlington, VT"
3739,"Burns Waterway Harbor, IN","Burns Waterway Harbor, IN"
359,"Buttermilk Channel, NY","Buttermilk Channel, NY"
3620,"Calcite, MI","Calcite, MI"
711,"Cambridge, MD","Cambridge, MD"
116,"Camden, ME","Camden, ME"
551,"Camden-Gloucester, NJ","Camden, NJ"
551,"Camden-Gloucester, NJ","Gloucester City, NJ"
732,"Cape Charles, VA","Cape Charles, VA"
131,"Cape Porpoise, ME","Cape Porpoise, ME"
3116,"Cape Vincent, NY","Cape Vincent, NY"
2182,"Carrabelle, FL","Carrabelle, FL"
2300,"Caruthersville Harbor, MO","Caruthersville Harbor, MO"
1269,"Carvers Harbor, ME","Carvers Harbor, ME"
3632,"Caseville, MI","Caseville, MI"
2129,"Cedar Key, FL","Cedar Key, FL"
3804,"Cedar River Harbor, MI","Cedar River Harbor, MI"
773,"Charleston, SC","Charleston, SC"
3706,"Charlevoix, MI","Charlevoix, MI"
2116,"Charlotte, FL","Charlotte, FL"
175,"Chatham, MA","Chatham, MA"
2372,"Chattanooga, TN","Chattanooga, TN"
3621,"Cheboygan, MI","Cheboygan, MI"
152,"Chelsea River, MA","Chelsea River, MA"
297,"Chester, PA","Chester, PA"
3747,"Chicago Harbor, IL","Chicago Harbor, IL"
3749,"Chicago, IL","Chicago, IL"
2196,"Chickasaw Creek, AL","Chickasaw Creek, AL"
1334,"Chincoteague, VA Harbor of Refuge, VA","Chincoteague, VA Harbor of Refuge, VA"
3935,"Chippewa, MI","Chippewa, MI"
2157,"Christiansted, St Croix, VI","Christiansted, St Croix, VI"
2338,"Cincinnati-Northern KY, Ports of","Cincinnati-Northern KY, Ports of"
2266,"Claiborne County Port, MS","Claiborne County Port, MS"
707,"Claiborne, MD","Claiborne, MD"
3217,"Cleveland, OH","Cleveland, OH"
3498,"Clinton River, Michigan","Clinton River, Michigan"
306,"Clinton, CT","Clinton, CT"
166,"Cohasset, MA","Cohasset, MA"
364,"Coney Island Creek, NY","Coney Island Creek, NY"
3220,"Conneaut, OH","Conneaut, OH"
3220,"Conneaut, OH","Conneaut, Ohio"
4660,"Coos Bay, OR","Coos Bay, OR"
4814,"Cordova, AK","Cordova, AK"
103,"Corea Harbor, ME","Corea Harbor, ME"
3920,"Cornucopia, WI","Cornucopia, WI"
2423,"Corpus Christi, TX","Corpus Christi, TX"
2414,"Corpus Christi, TX (Excluding Harbor Island)","Corpus Christi, TX (Excluding Harbor Island)"
4834,"Craig, AK","Craig, AK"
4380,"Crescent City, CA","Crescent City, CA"
114,"Criehaven, ME","Criehaven, ME"
712,"Crisfield, MD","Crisfield, MD"
185,"Cuttyhunk Harbor, MA","Cuttyhunk Harbor, MA"
778,"Darien, GA","Darien, GA"
2194,"Dauphin Island, AL","Dauphin Island, AL"
603,"Deep Creek, Accomack County, VA","Deep Creek, Accomack County, VA"
238,"Delaware Bay, DE, Harbor of Refuge","Delaware Bay, DE, Harbor of Refuge"
3812,"Detour, MI","Detour City, MI"
3318,"Detroit Harbor, MI","Detroit Harbor, MI"
3769,"Detroit Harbor, WI","Detroit Harbor, WI"
3321,"Detroit, MI","Detroit, MI"
4846,"Dillingham, AK","Dillingham, AK"
2090,"Dog and Fowl Rivers, AL","Dog and Fowl Rivers, AL"
160,"Dorchester Bay, MA","Dorchester Bay, MA"
4811,"Douglas Harbor, AK","Douglas Harbor, AK"
3813,"Drummond Island, MI","Drummond Island, MI"
4871,"Dry Pass, AK","Dry Pass, AK"
3924,"Duluth-Superior, MN and WI","Duluth, MN - Superior, WI"
3924,"Duluth-Superior, MN and WI","Duluth, Minn."
3924,"Duluth-Superior, MN and WI","Duluth, MN"
3222,"Dunkirk, NY","Dunkirk, NY"
168,"Duxbury, MA","Duxbury, MA"
3859,"Eagle Harbor, MI","Eagle Harbor, MI"
348,"East Chester Creek, NY","East Chester Creek, NY"
351,"East River, NY","East River, NY"
101,"Eastport, ME","Eastport, ME"
2105,"Eau Gallie, FL","Eau Gallie, FL"
345,"Echo Bay Harbor, NY","Echo Bay Harbor, NY"
3312,"Ecorse, MI","Ecorse, MI"
760,"Edenton, NC","Edenton, NC"
184,"Edgartown, MA","Edgartown, MA"
4872,"Egegik River, AK","Egegik River, AK"
4838,"Elfin Cove Harbor, AK","Elfin Cove Harbor, AK"
391,"Elizabeth River, NJ","Elizabeth River, NJ"
2298,"Elvis Stahr Harbor, KY","Elvis Stahr Harbor, KY"
3221,"Erie, PA","Erie, PA"
3795,"Escanaba, MI","Escanaba, MI"
4725,"Everett, WA","Everett, WA"
2112,"Everglades Harbor, Collier County, FL","Everglades Harbor, Collier County, FL"
2193,"Fairhope, AL","Fairhope, AL"
3218,"Fairport Harbor, OH","Fairport, OH"
3218,"Fairport Harbor, OH","Fairport, Ohio"
2139,"Fajardo, PR","Fajardo, PR"
189,"Fall River, MA","Fall River, MA"
177,"Falmouth, MA","Falmouth, MA"
784,"Fernandina Beach, FL","Fernandina, FL"
320,"Fivemile River Harbor, CT","Fivemile River Harbor, CT"
4734,"Flathead Lake, MT","Flathead Lake, MT"
354,"Flushing Bay and Creek, NY","Flushing Bay and Creek, NY"
2114,"Fort Myers Beach, FL","Fort Myers Beach, FL"
2161,"Fort Pierce, FL","Fort Pierce, FL"
158,"Fort Point Channel, MA","Fort Point Channel, MA"
3718,"Frankfort, MI","Frankfort, MI"
2408,"Freeport, TX","Freeport, TX"
2417,"Galveston, TX","Galveston, TX"
3736,"Gary, IN","Gary, IN"
772,"Georgetown, SC","Georgetown, SC"
3797,"Gladstone, MI","Gladstone, MI"
515,"Glen Cove, NY","Glen Cove, NY"
143,"Gloucester, MA","Gloucester, MA"
360,"Gowanus Creek Channel, NY","Gowanus Creek Channel, NY"
3728,"Grand Haven, MI","Grand Haven, MI"
3842,"Grand Marais Harbor (Harbor of Refuge), MI","Grand Marais Harbor (Harbor of Refuge), MI"
3931,"Grand Marais, MN","Grand Marais, MN"
3857,"Grand Traverse Bay, MI","Grand Traverse Bay, MI"
4702,"Grays Harbor, WA","Grays Harbor, WA"
382,"Great Kills Harbor, Staten Island, NY","Great Kills Harbor, Staten Island, NY"
300,"Great Salt Pond, Block Island, RI","Great Salt Pond, Block Island, RI"
3778,"Green Bay, WI","Green Bay, WI"
1175,"Green Harbor, MA","Green Harbor, MA"
527,"Greenport, NY","Greenport, NY"
2271,"Greenville, MS","Greenville, MS"
319,"Greenwich, CT","Greenwich, CT"
2148,"Guayanes, PR","Guayanes, PR"
307,"Guilford, CT","Guilford, CT"
2083,"Gulfport, MS","Gulfport, MS"
2371,"Guntersville, AL","Guntersville, AL"
393,"Hackensack River, NJ","Hackensack River, NJ"
1167,"Hampton, NH","Hampton, NH"
4470,"Hana Harbor, Maui, HI","Hana Harbor, Maui, HI"
3602,"Harbor Beach, MI","Harbor Beach, MI"
2418,"Harbor Island, TX","Harbor Island, TX"
358,"Harlem River, NY","Harlem River, NY"
3614,"Harrisville, MI","Harrisville, MI"
303,"Hay, NY","Hay, NY"
2293,"Helena, AR","Helena, AR"
514,"Hempstead, NY","Hempstead, NY"
126,"Hendricks, ME","Hendricks, ME"
4400,"Hilo, HI","Hilo, HI"
165,"Hingham Harbor, MA","Hingham Harbor, MA"
3730,"Holland, MI","Holland, MI"
4844,"Homer, AK","Homer, AK"
4420,"Honolulu, HI","Honolulu, HI"
4813,"Hoonah, AK","Hoonah, AK"
738,"Hopewell, VA","Hopewell, VA"
733,"Horn Harbor, VA","Horn Harbor, VA"
2131,"Horseshoe Cove, FL","Horseshoe Cove, FL"
2012,"Houston, TX","Houston, TX"
5396,"Hudson River Channel, NY and NJ","Hudson River Channel, NY and NJ"
5395,"Hudson River, NY (Lower Section)","Hudson River, NY (Lower Section)"
4942,"Humboldt, AK","Humboldt, AK"
4375,"Humboldt, CA","Humboldt, CA"
2348,Huntington - Tristate,Huntington - Tristate
519,"Huntington, NY","Huntington, NY"
3214,"Huron, OH","Huron, OH"
176,"Hyannis, MA","Hyannis, MA"
2030,"Iberia, LA","Iberia, LA"
4909,"Iliuliuk Harbor, AK","Iliuliuk Harbor, AK"
3738,"Indiana Harbor, IN","Indiana Harbor, IN"
3117,"Irondequoit Bay Harbor, New York","Irondequoit Bay Harbor, New York"
154,"Island End River, MA","Island End River, MA"
137,"Isle of Shoals Harbor, ME and NH","Isle of Shoals Harbor, ME and NH"
2017,"Jacksonville, FL","Jacksonville, FL"
367,"Jamaica Bay, NY","Jamaica Bay, NY"
4810,"Juneau, AK","Juneau, AK"
4410,"Kahului, Maui, HI","Kahului, HI"
4475,"Kailua, Ohau, Hi","Kailua, Ohau, Hi"
4805,"Kake, AK","Kake, AK"
4626,"Kalama, WA","Kalama, WA"
4460,"Kalaupapa Harbor, Molokai, HI","Kalaupapa Harbor, Molokai, HI"
2385,"Kansas City, MO","Kansas City, MO"
2307,"Kaskaskia, IL, Port of","Kaskaskia, IL, Port of"
4415,"Kaunakakai, Molokai, HI","Kaunakakai, Molokai, HI"
4405,"Kawaihae Harbor, HI","Kawaihae Harbor, HI"
3210,"Kelleys Island, OH","Kelleys Island, OH"
3753,"Kenosha, WI","Kenosha, WI"
4800,"Ketchikan, AK","Ketchikan, AK"
3762,"Kewaunee, WI","Kewaunee, WI"
2111,"Key West, FL","Key West, FL"
377,"Keyport Harbor, NJ","Keyport Harbor, NJ"
4944,"King Cove, AK","King Cove, AK"
4978,"Kivilina, AK","Kivilina, AK"
3925,"Knife River Harbor, MN","Knife River Harbor, MN"
2373,"Knoxville, TN","Knoxville, TN"
4934,"Kodiak, AK","Kodiak, AK"
3864,"La Pointe, WI","La Pointe, WI"
3858,"Lac La Belle, MI","Lac La Belle, MI"
1324,"Lagoon Pond, Martha's Vineyard, MA","Lagoon Pond, Martha's Vineyard, MA"
3742,"Lake Calumet, IL","Lake Calumet, IL"
2254,"Lake Charles, LA","Lake Charles, LA"
4749,"Lake Crockett, WA","Lake Crockett, WA"
535,"Lake Montauk Harbor, NY","Lake Montauk Harbor, NY"
2269,"Lake Providence, LA","Lake Providence, LA"
344,"Larchmont Harbor, NY","Larchmont Harbor, NY"
3716,"Leland, MI","Leland, MI"
381,"Lemon Creek, Staten Island, NY","Lemon Creek, Staten Island, NY"
3815,"Lime Island, MI","Lime Island, MI"
558,"Little Egg Harbor, NJ","Little Egg Harbor, NJ"
2120,"Little Manatee River, FL","Little Manatee River, FL"
4110,"Long Beach, CA","Long Beach, CA"
347,"Long Island Sound at City Island, NY","Long Island Sound at City Island, NY"
4622,"Longview, WA","Longview, WA"
3216,"Lorain, OH","Lorain, OH"
4120,"Los Angeles, CA","Los Angeles, CA"
2333,"Louisville, KY","Louisville, KY"
708,"Lowes Wharf, Talbot County, MD","Lowes Wharf, Talbot County, MD"
3722,"Ludington, MI","Ludington, MI"
148,"Lynn, MA","Lynn, MA"
3624,"Mackinac, MI","Mackinac Island, MI"
3622,"Mackinaw City, MI","Mackinaw City, MI"
2267,"Madison Parish, LA, Port of","Madison Parish, LA, Port of"
155,"Malden River, MA","Malden River, MA"
343,"Mamaroneck Harbor, NY","Mamaroneck Harbor, NY"
144,"Manchester, MA","Manchester, MA"
349,"Manhasset Bay, NY","Manhasset Bay, NY"
3720,"Manistee, MI","Manistee, MI"
3799,"Manistique, MI","Manistique, MI"
3760,"Manitowoc, WI","Manitowoc, WI"
1250,"Manns, NC","Manns, NC"
147,"Marblehead, MA","Marblehead, MA"
3212,"Marblehead, OH","Marblehead, OH"
5251,"Marcus Hook, PA","Marcus Hook, PA"
3506,"Marine City, MI","Marine City, MI"
3844,"Marquette, MI","Marquette, MI"
3512,"Marysville, MI","Marysville, MI"
2410,"Matagorda Port Lv Pt Com, TX","Matagorda Port Lv Pt Com, TX"
113,"Matinicus, ME","Matinicus, ME"
186,"Mattapoisett, MA","Mattapoisett, MA"
523,"Mattituck, NY","Mattituck, NY"
2154,"Mayaguez, PR","Mayaguez, PR"
2106,"Melbourne, FL","Melbourne, FL"
2294,"Memphis, TN","Memphis, TN"
